date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:54	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2013:13:56%20GMT	https://sudpafhr.manus.space/robots.txt		(from )
10:13:54	716736/716736	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2013:13:56%20GMT	https://sudpafhr.manus.space/	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/index.html	(from )
10:13:55	11138/11138	---MCZ	200	added ('OK')	text/css	etag:W/%22be8aeca8c263e0740dc61045a4761cd8%22	https://sudpafhr.manus.space/styles.css	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/styles.css	(from https://sudpafhr.manus.space/)
10:13:55	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/Users/arnaldo/Documents/ADS/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://sudpafhr.manus.space/)
10:13:55	356076/356076	---M--	200	added ('OK')	image/jpeg	etag:%22ea6a61deccd389df22b6626cee7a97e7%22	https://sudpafhr.manus.space/assets/images/medicamentos-hero.jpg	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/assets/images/medicamentos-hero.jpg	(from https://sudpafhr.manus.space/)
10:13:55	30722/30722	---M--	200	added ('OK')	image/jpeg	etag:%226bad5127aeec59e9c1bef2604637be64%22	https://sudpafhr.manus.space/assets/images/farmaceutico.jpg	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/assets/images/farmaceutico.jpg	(from https://sudpafhr.manus.space/)
10:13:56	8390/8390	---MCZ	200	added ('OK')	application/javascript	etag:W/%22275f616f7be38122141ea05cfe711114%22	https://sudpafhr.manus.space/script.js	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/script.js	(from https://sudpafhr.manus.space/)
10:13:56	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2013:13:58%20GMT	https://sudpafhr.manus.space/n	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/n	(from https://sudpafhr.manus.space/)
10:13:56	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2013:13:58%20GMT	https://sudpafhr.manus.space/POST	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/POST	(from https://sudpafhr.manus.space/)
10:13:56	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2013:13:58%20GMT	https://sudpafhr.manus.space/e	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/e	(from https://sudpafhr.manus.space/)
10:13:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2013:13:59%20GMT	https://sudpafhr.manus.space/Z.href,window.location.href	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/Z.href,window.location.href	(from https://sudpafhr.manus.space/)
10:13:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2013:13:59%20GMT	https://sudpafhr.manus.space/t,n	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/t,n	(from https://sudpafhr.manus.space/)
10:13:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2013:13:59%20GMT	https://sudpafhr.manus.space/;%20path=/	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/;%20path=/index.html	(from https://sudpafhr.manus.space/)
10:13:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2013:13:59%20GMT	https://sudpafhr.manus.space/window.location.href	C:/Users/arnaldo/Documents/ADS/sudpafhr.manus.space/window.location.href	(from https://sudpafhr.manus.space/)
10:13:58	5097/5097	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Jul%202025%2013:13:59%20GMT	https://plausible.io/js/script.file-downloads.hash.outbound-links.pageview-props.revenue.tagged-events.js	C:/Users/arnaldo/Documents/ADS/plausible.io/js/script.file-downloads.hash.outbound-links.pageview-props.revenue.tagged-events.js	(from https://sudpafhr.manus.space/)
